timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1557442813880581646, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813887844976, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813890295658, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813892302109, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813894307592, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813896313706, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813898324285, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813900483427, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813907791399, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813909714720, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813911659988, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813915046019, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813918723263, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813928569037, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813931949195, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813935618218, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813939000768, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813948165964, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813951083262, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813953892661, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813956689848, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813959521643, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813967774506, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
